scalarizer,57.42,ok
sccp,56.90,ok
scev_aa,56.27,ok
scoped_noalias_aa,50.61,ok
select_optimize,56.30,ok
separate_const_offset_from_gep,59.96,ok
simple_loop_unswitch,61.25,ok
simplifycfg,57.14,ok
sink,59.13,ok
sjljehprepare,51.01,ok
slp_vectorizer,65.34,ok
slsr,66.93,ok
speculative_execution,54.94,ok
sroa,59.20,ok
stack_safety,50.54,ok
stack_safety_local,50.75,ok
strip,51.00,ok
strip_dead_debug_info,50.85,ok
strip_dead_prototypes,50.37,ok
strip_debug_declare,50.60,ok
strip_gc_relocates,51.15,ok
strip_nondebug,50.83,ok
strip_nonlinetable_debuginfo,50.67,ok
structurizecfg,233.48,ok
tailcallelim,57.76,ok
targetlibinfo,50.65,ok
tbaa,50.47,ok
tlshoist,52.07,ok
transform_warning,52.60,ok
type_promotion,50.68,ok
unreachableblockelim,50.96,ok
vector_combine,58.72,ok
verify,50.46,ok
verify_safepoint_ir,53.05,ok
wasmehprepare,56.33,ok
winehprepare,51.22,ok
x86_partial_reduction,50.87,ok
x86_winehstate,50.83,ok
